# [v2] word=geschenkcheques mask=(0, 3, 7, 9, 11, 12, 14) LB=2010 reserve=1 cap=1200.0 workers=20
# [v2] mask (0, 3, 7, 9, 11, 12, 14) main_const=1724 vfloor=286 (LB=2010)
# enumerating BLANK-AWARE band (nominal - deficit > 286) ...
    [enum] 50M nodes, 1003521 in band
    [enum] 100M nodes, 4907503 in band
    [enum] 150M nodes, 6576283 in band
# 6706022 combos in band (capped=False), collected 6706022; enum 2723s; 0 already in ledger
# ledger: 0 UNSAT, 0 SAT, 0 UNKNOWN, 0 ERROR already; 6706022 to test
  ... 26800/6706022 tested (9.32/s, ~199.1h left); undecided=0
  ... 27000/6706022 tested (9.32/s, ~199.0h left); undecided=0
  ... 27200/6706022 tested (9.32/s, ~199.1h left); undecided=0
  ... 27400/6706022 tested (9.31/s, ~199.4h left); undecided=0
  ... 27600/6706022 tested (9.28/s, ~199.9h left); undecided=0
  ... 27800/6706022 tested (9.28/s, ~199.9h left); undecided=0
  ... 28000/6706022 tested (9.28/s, ~199.8h left); undecided=0
  ... 28200/6706022 tested (9.29/s, ~199.7h left); undecided=0
  ... 28400/6706022 tested (9.26/s, ~200.3h left); undecided=0
  ... 28600/6706022 tested (9.27/s, ~200.1h left); undecided=0
  ... 28800/6706022 tested (9.28/s, ~199.9h left); undecided=0
  ... 29000/6706022 tested (9.27/s, ~200.1h left); undecided=0
  ... 29200/6706022 tested (9.27/s, ~200.1h left); undecided=0
  ... 29400/6706022 tested (9.28/s, ~199.8h left); undecided=0
  ... 29600/6706022 tested (9.30/s, ~199.5h left); undecided=0
  ... 29800/6706022 tested (9.32/s, ~199.0h left); undecided=0
  ... 30000/6706022 tested (9.34/s, ~198.6h left); undecided=0
  ... 30200/6706022 tested (9.33/s, ~198.8h left); undecided=0
  ... 30400/6706022 tested (9.29/s, ~199.6h left); undecided=0
  ... 30600/6706022 tested (9.22/s, ~201.2h left); undecided=0
  ... 30800/6706022 tested (9.17/s, ~202.1h left); undecided=0
  ... 31000/6706022 tested (9.14/s, ~202.8h left); undecided=0
  ... 31200/6706022 tested (9.11/s, ~203.5h left); undecided=0
  ... 31400/6706022 tested (9.05/s, ~204.8h left); undecided=0
  ... 31600/6706022 tested (9.01/s, ~205.8h left); undecided=0
  ... 31800/6706022 tested (9.01/s, ~205.9h left); undecided=0
  ... 32000/6706022 tested (8.96/s, ~206.9h left); undecided=0
  ... 32200/6706022 tested (8.94/s, ~207.3h left); undecided=0
  ... 32400/6706022 tested (8.92/s, ~207.9h left); undecided=0
  ... 32600/6706022 tested (8.92/s, ~207.9h left); undecided=0
  ... 32800/6706022 tested (8.90/s, ~208.3h left); undecided=0
  ... 33000/6706022 tested (8.89/s, ~208.6h left); undecided=0
  ... 33200/6706022 tested (8.87/s, ~208.9h left); undecided=0
  ... 33400/6706022 tested (8.86/s, ~209.1h left); undecided=0
  ... 33600/6706022 tested (8.84/s, ~209.8h left); undecided=0
  ... 33800/6706022 tested (8.83/s, ~209.9h left); undecided=0
  ... 34000/6706022 tested (8.83/s, ~209.9h left); undecided=0
  ... 34200/6706022 tested (8.83/s, ~209.8h left); undecided=0
  ... 34400/6706022 tested (8.83/s, ~209.8h left); undecided=0
  ... 34600/6706022 tested (8.85/s, ~209.4h left); undecided=0
  ... 34800/6706022 tested (8.85/s, ~209.3h left); undecided=0
