# [v2] word=geschenkcheques mask=(0, 3, 7, 8, 11, 13, 14) LB=2010 reserve=1 cap=1200.0 workers=20
# [v2] mask (0, 3, 7, 8, 11, 13, 14) main_const=1724 vfloor=286 (LB=2010)
# enumerating BLANK-AWARE band (nominal - deficit > 286) ...
    [enum] 50M nodes, 3007998 in band
# 3063175 combos in band (capped=False), collected 3063175; enum 517s; 0 already in ledger
# ledger: 0 UNSAT, 0 SAT, 0 UNKNOWN, 0 ERROR already; 3063175 to test
# engine=pinbatch base=/home/bob/programming/scrabble4/experiments/results/oracle_parallel/base_0_3_7_8_11_13_14.txt PINWALL=5s audit=1/1000
  ... 32600/3063175 tested (1388.76/s, ~0.6h left); undecided=0
  ... 32800/3063175 tested (1395.05/s, ~0.6h left); undecided=0
  ... 33000/3063175 tested (1402.84/s, ~0.6h left); undecided=0
  ... 33200/3063175 tested (1410.71/s, ~0.6h left); undecided=0
  ... 33400/3063175 tested (1418.39/s, ~0.6h left); undecided=0
  ... 33600/3063175 tested (1426.74/s, ~0.6h left); undecided=0
  ... 33800/3063175 tested (1434.86/s, ~0.6h left); undecided=0
  ... 34000/3063175 tested (1442.79/s, ~0.6h left); undecided=0
  ... 34200/3063175 tested (1450.40/s, ~0.6h left); undecided=0
  ... 34400/3063175 tested (1458.41/s, ~0.6h left); undecided=0
  ... 34600/3063175 tested (1466.38/s, ~0.6h left); undecided=0
  ... 34800/3063175 tested (1474.52/s, ~0.6h left); undecided=0
  ... 35000/3063175 tested (1482.68/s, ~0.6h left); undecided=0
  ... 35200/3063175 tested (1490.75/s, ~0.6h left); undecided=0
  ... 35400/3063175 tested (1499.07/s, ~0.6h left); undecided=0
  ... 35600/3063175 tested (1507.30/s, ~0.6h left); undecided=0
  ... 35800/3063175 tested (1515.48/s, ~0.6h left); undecided=0
  ... 36000/3063175 tested (1523.52/s, ~0.6h left); undecided=0
  ... 36200/3063175 tested (1531.81/s, ~0.5h left); undecided=0
  ... 36400/3063175 tested (1540.11/s, ~0.5h left); undecided=0
  ... 36600/3063175 tested (1548.31/s, ~0.5h left); undecided=0
  ... 36800/3063175 tested (1556.59/s, ~0.5h left); undecided=0
  ... 37000/3063175 tested (1564.69/s, ~0.5h left); undecided=0
  ... 37200/3063175 tested (1573.01/s, ~0.5h left); undecided=0
  ... 37400/3063175 tested (1580.78/s, ~0.5h left); undecided=0
  ... 37600/3063175 tested (1589.05/s, ~0.5h left); undecided=0
  ... 37800/3063175 tested (1597.31/s, ~0.5h left); undecided=0
  ... 38000/3063175 tested (1604.98/s, ~0.5h left); undecided=0
  ... 38200/3063175 tested (1612.94/s, ~0.5h left); undecided=0
  ... 38400/3063175 tested (1621.26/s, ~0.5h left); undecided=0
  ... 38600/3063175 tested (1629.03/s, ~0.5h left); undecided=0
  ... 38800/3063175 tested (1636.43/s, ~0.5h left); undecided=0
  ... 39000/3063175 tested (1643.73/s, ~0.5h left); undecided=0
  ... 39200/3063175 tested (1651.96/s, ~0.5h left); undecided=0
  ... 39400/3063175 tested (1660.19/s, ~0.5h left); undecided=0
  ... 39600/3063175 tested (1668.27/s, ~0.5h left); undecided=0
  ... 39800/3063175 tested (1676.25/s, ~0.5h left); undecided=0
  ... 40000/3063175 tested (1684.33/s, ~0.5h left); undecided=0
  ... 40200/3063175 tested (1692.28/s, ~0.5h left); undecided=0
  ... 40400/3063175 tested (1700.02/s, ~0.5h left); undecided=0
  ... 40600/3063175 tested (1707.69/s, ~0.5h left); undecided=0
