[06:18:11] === STREAM CERTIFY mask=(0, 3, 7, 9, 11, 13, 14) lb=2010 vfloor=286 shards=20 dir=/home/bob/programming/scrabble4/experiments/results/oracle_parallel/stream_0379111314_lb2010
[06:39:31]   enum: 20M streamed (15624/s)
[07:02:35]   enum: 40M streamed (15016/s)
[07:16:18]   enum: 60M streamed (17206/s)
[07:24:05]   enum: 80M streamed (20236/s)
[07:34:51]   enum: 100M streamed (21739/s)
[07:42:46]   enum: 120M streamed (23645/s)
[07:51:16]   enum: 140M streamed (25069/s)
[07:59:44]   enum: 160M streamed (26261/s)
[08:17:38]   enum: 180M streamed (25115/s)
[08:26:51]   enum: 200M streamed (25908/s)
[08:36:28]   enum: 220M streamed (26517/s)
[08:48:54]   enum: 240M streamed (26540/s)
[09:01:15]   enum: 260M streamed (26573/s)
[09:18:16]   enum: 280M streamed (25913/s)
[09:22:49] enum DONE: count=282299680 streamed=282299680 capped=False
[09:22:49] launched 20 pinbatch shard workers (PINWALL=5s)
[12:54:04]   solve: 111534278/282299680 (8800/s, ~5.4h left)
[12:55:11]   solve: 111685714/282299680 (8765/s, ~5.4h left)
[12:56:19]   solve: 111832832/282299680 (8730/s, ~5.4h left)
[12:57:26]   solve: 112011472/282299680 (8699/s, ~5.4h left)
[12:58:33]   solve: 112197192/282299680 (8668/s, ~5.5h left)
[12:59:42]   solve: 112292754/282299680 (8630/s, ~5.5h left)
[13:00:49]   solve: 112382157/282299680 (8592/s, ~5.5h left)
[13:01:56]   solve: 112463131/282299680 (8555/s, ~5.5h left)
[13:03:03]   solve: 112567639/282299680 (8519/s, ~5.5h left)
[13:04:10]   solve: 112663029/282299680 (8483/s, ~5.6h left)
[13:05:17]   solve: 112747774/282299680 (8447/s, ~5.6h left)
[13:06:24]   solve: 112803850/282299680 (8409/s, ~5.6h left)
[13:07:31]   solve: 112884865/282299680 (8373/s, ~5.6h left)
[13:08:39]   solve: 112947078/282299680 (8336/s, ~5.6h left)
[13:09:47]   solve: 113025584/282299680 (8300/s, ~5.7h left)
[13:10:54]   solve: 113944622/282299680 (8326/s, ~5.6h left)
[13:12:01]   solve: 114809684/282299680 (8349/s, ~5.6h left)
[13:13:08]   solve: 115402731/282299680 (8351/s, ~5.6h left)
[13:14:16]   solve: 115859882/282299680 (8344/s, ~5.5h left)
[13:15:22]   solve: 116283294/282299680 (8334/s, ~5.5h left)
[13:16:30]   solve: 116818226/282299680 (8332/s, ~5.5h left)
[13:17:38]   solve: 117462657/282299680 (8337/s, ~5.5h left)
[13:18:46]   solve: 118003872/282299680 (8336/s, ~5.5h left)
[13:19:53]   solve: 118239811/282299680 (8313/s, ~5.5h left)
[13:21:00]   solve: 118379924/282299680 (8284/s, ~5.5h left)
[13:22:06]   solve: 118498678/282299680 (8254/s, ~5.5h left)
[13:23:13]   solve: 118617450/282299680 (8224/s, ~5.5h left)
[13:24:20]   solve: 118719942/282299680 (8193/s, ~5.5h left)
[13:25:28]   solve: 118811876/282299680 (8161/s, ~5.6h left)
