# N=13 left-block {0..6} candidate ranking  (optimistic total = main + vert)
# WM=9 wm0=[3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3] lm0=[1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1]
# opt_total   main   vert  word
        743    455    288  psychofarmaca
        743    455    288  psychiatrisch
        743    455    288  cyberchickjes
        743    455    288  buckyballtjes
        743    446    297  vruchtlichaam
        743    446    297  vruchtachtigs
        743    446    297  vouwschermpje
        743    446    297  prachtclubjes
        743    446    297  plukvruchtjes
        743    446    297  methylcyanide
        743    446    297  krachtbalclub
        743    446    297  kluchtachtigs
        743    446    297  kauwgumwikkel
        743    446    297  kauwgumachtig
        743    446    297  hydrolyzertje
        743    446    297  fluweelzachts
        743    446    297  chachumbertje
        743    446    297  buschauffeuse
        743    446    297  afschuwelijks
        742    455    287  profylactisch
        742    455    287  onyxkleurigen
        742    455    287  flexiesysteem
        742    455    287  cultuurglossy
        742    446    296  turfschuurtje
        742    446    296  tuchtklachtje
        742    446    296  schulpschaver
        742    446    296  pachtschuldje
        742    446    296  machtsvacuums
        742    446    296  luchtschutter
        742    446    296  luchtschommel
        742    446    296  luchtmachtjes
        742    446    296  juryverslagen
        742    446    296  jurystoeltjes
        742    446    296  flexievormpje
        742    446    296  bodysurfertje
        742    446    296  bodypumpsters
        742    446    296  bodydrummetje
        742    446    296  blauwzuchtige
        742    446    296  baljuwschapje
        742    446    296  babyvelletjes
        742    446    296  babyuitzetjes
        742    446    296  babyjoggertje
        741    455    286  rugbycircuits
        741    455    286  quickbreakjes
        741    455    286  melkquotumpje
        741    455    286  hockeymatchje
        741    455    286  cowboykostuum
        741    455    286  cowboyfilmpje
        741    455    286  campuscomplex
        741    446    295  zwaluwvleugel
        741    446    295  vrachtgewicht
        741    446    295  hydronymische
        741    437    304  recherchechef
        741    437    304  polysyndetons
        741    437    304  chachachaatje
        740    455    285  whiskywalmpje
        740    455    285  vrouwensquash
        740    455    285  hartcyclusjes
        740    446    294  wachtvuurtjes
        740    446    294  vinylchloride
        740    446    294  polychromeert
        740    446    294  polyarchietje
        740    446    294  polyanthische
        740    446    294  playbacksters
        740    446    294  playbackrages
        740    446    294  palynologisch
        740    446    294  nachtvluchtje
        740    446    294  mosquitootjes
        740    446    294  luchtschuiven
        740    446    294  luchtschijven
        740    446    294  lichtschuwste
        740    446    294  lichtschuwers
        740    446    294  hyperonymisch
        740    446    294  frequentietje
        740    446    294  frequentatief
        740    446    294  flexwerksters
        740    446    294  cityvorminkje
        740    446    294  chrysopraasje
        740    446    294  chrysalidetje
        740    446    294  bodypackertje
        740    446    294  bodycammetjes
        740    446    294  bauxietwegjes
        740    446    294  babyschoentje
        740    446    294  babyproducten
        740    446    294  babyachtigste
        740    446    294  babyachtigers
        740    437    303  afschrijffout
        739    455    284  wyclifitische
        739    455    284  hockeywatcher
        739    455    284  cyberschurkje
        739    455    284  cyberhuwelijk
        739    446    293  psychobabbels
        739    446    293  hydrocyclonen
        739    437    302  succesproduct
        739    437    302  opschephulpje
        739    437    302  clochardschap
        738    446    292  yoghurtkuipje
        738    446    292  wichtvrachtje
        738    446    292  recyclebaarst
        738    446    292  muurzwaluwtje
        738    446    292  hypocycloiden
        738    446    292  craquelerende
        738    446    292  craqueleerden
        738    446    292  copycentertje
        738    446    292  conquistadors
        738    446    292  buxusstruikje
        738    446    292  buxusheggetje
        738    446    292  babyccinootje
        738    437    301  lachsuccesjes
        738    437    301  huichelachtig
        737    455    282  campingcheque
        737    446    291  wijkschouwtje
        737    446    291  rugbyhelmpjes
        737    446    291  rugbyblessuur
        737    446    291  puppyachtigst
        737    446    291  psychograafje
        737    446    291  lynchploegjes
        737    446    291  hockeycoaches
        737    446    291  glycerinezuur
        737    446    291  cyclotomische
        737    446    291  cyclopischere
        737    446    291  cyclocrossjes
        737    446    291  cyclecrossjes
        737    437    300  vuurcultusjes
        737    437    300  vruchtvliegje
        737    437    300  vruchtpluizen
        737    437    300  vruchtkluizen
        737    437    300  vruchtgebruik
        737    437    300  vluchttijdjes
        737    437    300  vluchtnummers
        737    437    300  vluchtlijntje
        737    437    300  vluchtkerkjes
        737    437    300  vluchthouding
        737    437    300  vluchthoekjes
        737    437    300  vluchtdeurtje
        737    437    300  vluchtbergjes
        737    437    300  punctuurvrijs
        737    437    300  popcultuurtje
        737    437    300  kauwgummivrij
        737    437    300  hiphopchickje
        737    437    300  cowcatchertje
        737    437    300  clubcircuitje
        737    437    300  burchtvijvers
        737    437    300  bakcultuurtje
        736    455    281  privacyexpert
        736    446    290  yoghurtachtig
        736    446    290  vechtreflexje
        736    446    290  mythografisch
        736    446    290  lymfcelletjes
        736    446    290  lichtmythetje
        736    446    290  jazzyachtiger
        736    446    290  ijshockeyhelm
        736    446    290  gehuighockeyd
        736    446    290  excuusbriefje
        736    437    299  zelfzuchtigst
        736    437    299  zelfcultusjes
        736    437    299  terugvluchtje
        736    437    299  stijgvluchtje
        736    437    299  schuurvlakjes
        736    437    299  schuurklampje
        736    437    299  schulpvormpje
        736    437    299  prijsvluchtje
        736    437    299  luchthelmpjes
        736    437    299  kijfzuchtigst
        736    437    299  grafsculptuur
        736    437    299  blauwzuurtjes
        736    437    299  babypoppetjes
        736    437    299  babybilletjes
        735    455    280  peroxyzuurtje
        735    455    280  chemsexpartys
        735    446    289  wurghypotheek
        735    446    289  webcommunitys
        735    446    289  stuwcomplexen
        735    446    289  psychotischen
        735    446    289  psychoscopist
        735    446    289  psycholeptica
        735    446    289  psychocurient
        735    446    289  psychoactiefs
        735    446    289  homocyclische
        735    446    289  circusponytje
        735    446    289  chylusvaatjes
        735    446    289  brachycefalie
        735    446    289  brachycefalen
        735    446    289  baywatchertje
        735    446    289  apocalyptisch
        735    446    289  apocalypticus
        735    437    298  zakwaterzucht
        735    437    298  wancultuurtje
        735    437    298  vruchtschedes
        735    437    298  vruchtgewasje
        735    437    298  vruchtachtige
        735    437    298  vluchtschoten
        735    437    298  vluchtbewaker
        735    437    298  succesfilmpje
        735    437    298  punchbowltjes
        735    437    298  plukschuldjes
        735    437    298  plucheachtigs
        735    437    298  kluchtachtige
        735    437    298  ketchupachtig
        735    437    298  geschutwerfje
        735    437    298  fluweelzachte
        735    437    298  cultuurbewust
        735    437    298  couchsurfster
        735    437    298  chocolafiguur
        735    437    298  chocolabuffet
        735    437    298  burchtvrouwen
        735    437    298  burchtachtigs
        735    437    298  bouwplichtjes
        735    437    298  bacchusstafje
        735    437    298  afschuwelijke
        734    446    288  vrouwenhockey
        734    446    288  natuurquizjes
        734    446    288  lynxsteentjes
        734    446    288  lynxenpaartje
        734    446    288  jachtexcesjes
        734    446    288  gecherrypickt
        734    446    288  excuuswoordje
        734    446    288  butyleenoxide
        734    446    288  beautycoachje
        734    437    297  zwijgculturen
        734    437    297  zwavelzuurtje
        734    437    297  wachtverblijf
        734    437    297  wachtmuurtjes
        734    437    297  vrouwtjesfuut
        734    437    297  vinylmarktjes
        734    437    297  vacuumachtigs
        734    437    297  schuurwerkjes
        734    437    297  schuurverfjes
        734    437    297  schuurknechts
        734    437    297  schuurhoutjes
        734    437    297  schuurachtigs
        734    437    297  schurftachtig
        734    437    297  schuldverwijt
        734    437    297  schuldbewusts
        734    437    297  schuithuurtje
        734    437    297  schubsgewijze
        734    437    297  rechtsvacuums
        734    437    297  polypilletjes
        734    437    297  polygrafetjes
        734    437    297  polyfosfaatje
        734    437    297  mejuffrouwtje
        734    437    297  lucullischers
        734    437    297  luchtzwelling
        734    437    297  luchtshowtjes
        734    437    297  luchtschotjes
        734    437    297  luchtschipper
        734    437    297  luchtscheepje
        734    437    297  luchtrechtjes
        734    437    297  luchtmolecule
        734    437    297  ladyshavertje
        734    437    297  klauwschelpje
        734    437    297  juryberaadjes
        734    437    297  jachtclausule
        734    437    297  ithyfallietje
        734    437    297  flexkiezertje
        734    437    297  flexbedrijven
        734    437    297  cumuluswolken
        734    437    297  chauffeursvak
        734    437    297  chauffeurshok
        734    437    297  bodysurfsters
        734    437    297  bodybuttertje
        734    437    297  benzylcyanide
        734    437    297  babyluiertjes
        734    437    297  babylevertjes
        734    437    297  alkylgroepjes
        734    437    297  accuvullinkje
        733    446    287  varkenscyclus
        733    446    287  quichedeegjes
        733    446    287  hockeyshowtje
        733    446    287  cryptochipjes
        733    446    287  cowboysheriff
        733    437    296  zwaluwpluvier
        733    437    296  zuipschuurtje
        733    437    296  vouwfichetjes
        733    437    296  slachtgewicht
        733    437    296  pickuptruckje
        733    437    296  kwikluchtpomp
        733    437    296  circusshowtje
        733    437    296  cherrybrandys
        733    437    296  bouwtechnisch
        733    428    305  jujubevormpje
        733    428    305  conflictcoach
        733    428    305  bouwbubbeltje
        732    446    286  whiskywolkjes
        732    446    286  vuurwerkexces
